Site Code,Planning Week Date Range (Mon - Sun),Mine/Mill,# PMs Scheduled,# PMs Completed as Scheduled,# Total Maintenance WO Completed,# Scheduled Maintenance WO,# Non-Scheduled Maintenance WO Completed,# Scheduled Maintenance WO Completed,PM Schedule Compliance (By Work Order Count)
HVC,2019-10-21 - 2019-10-27,Mill,5,,,165,,,
HVC,2019-10-28 - 2019-11-03,Mill,5,,,160,,,
HVC,2019-11-04 - 2019-11-10,Mill,2,,,172,,,
HVC,2019-11-11 - 2019-11-17,Mill,5,,,157,,,
HVC,2019-11-18 - 2019-11-24,Mill,3,,,186,,,
HVC,2019-11-25 - 2019-12-01,Mill,6,,,173,,,
HVC,2019-12-02 - 2019-12-08,Mill,6,,,174,,,
HVC,2019-12-09 - 2019-12-15,Mill,6,,,197,,,
HVC,2019-12-16 - 2019-12-22,Mill,3,,,142,,,
HVC,2019-12-23 - 2019-12-29,Mill,4,,,94,,,
HVC,2019-12-30 - 2020-01-05,Mill,3,,1,173,,1,
HVC,2020-01-06 - 2020-01-12,Mill,14,,1,228,,1,
HVC,2020-01-13 - 2020-01-19,Mill,10,,1,133,,1,
HVC,2020-01-20 - 2020-01-26,Mill,12,,1,172,,1,
HVC,2020-01-27 - 2020-02-02,Mill,14,,2,200,,1,
HVC,2020-02-03 - 2020-02-09,Mill,16,,1,235,,1,
HVC,2020-02-10 - 2020-02-16,Mill,14,,1,198,,1,
HVC,2020-02-17 - 2020-02-23,Mill,16,,1,193,,1,
HVC,2020-02-24 - 2020-03-01,Mill,16,,1,207,,1,
HVC,2020-03-02 - 2020-03-08,Mill,55,,1,181,,1,
HVC,2020-03-09 - 2020-03-15,Mill,95,,1,187,,1,
HVC,2020-03-16 - 2020-03-22,Mill,71,,1,211,,1,
HVC,2020-03-23 - 2020-03-29,Mill,56,,1,140,,1,
HVC,2020-03-30 - 2020-04-05,Mill,36,,,121,,,
HVC,2020-04-06 - 2020-04-12,Mill,45,,1,108,,1,
HVC,2020-04-13 - 2020-04-19,Mill,68,,2,202,1,1,
HVC,2020-04-20 - 2020-04-26,Mill,76,,1,176,,1,
HVC,2020-04-27 - 2020-05-03,Mill,60,,,130,,,
HVC,2020-05-04 - 2020-05-10,Mill,86,,1,200,,1,
HVC,2020-05-11 - 2020-05-17,Mill,98,,1,222,,1,
HVC,2020-05-18 - 2020-05-24,Mill,90,,1,212,,1,
HVC,2020-05-25 - 2020-05-31,Mill,57,,1,136,,1,
HVC,2020-06-01 - 2020-06-07,Mill,108,,1,241,,1,
HVC,2020-06-08 - 2020-06-14,Mill,140,,2,300,1,1,
HVC,2020-06-15 - 2020-06-21,Mill,187,,2,315,,2,
HVC,2020-06-22 - 2020-06-28,Mill,162,,4,315,2,1,
HVC,2020-06-29 - 2020-07-05,Mill,220,,1,270,,1,
HVC,2020-07-06 - 2020-07-12,Mill,169,,1,257,,1,
HVC,2020-07-13 - 2020-07-19,Mill,159,,1,285,,1,
HVC,2020-07-20 - 2020-07-26,Mill,208,,,367,,,
